feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,CD1a-100-a,CD1a-100-b,CD1a-150-a,CD1a-150-b,CD1a-20-a,CD1a-20-b,CD1a-50-a,CD1a-50-b,CD1a-75-a,CD1a-75-b,CD1c-100-a,CD1c-100-b,CD1c-150-a,CD1c-150-b,CD1c-20-a,CD1c-20-b,CD1c-50-a,CD1c-50-b,CD1c-75-a,CD1c-75-b
,,,,,,,shortname,CD1aBa,CD1aBb,CD1aAa,CD1aAb,CD1aEa,CD1aEb,CD1aDa,CD1aDb,CD1aCa,CD1aCb,CD1cBa,CD1cBb,CD1cAa,CD1cAb,CD1cEa,CD1cEb,CD1cDa,CD1cDb,CD1cCa,CD1cCb
,,,,,,,cohort,CD1a-100,CD1a-100,CD1a-150,CD1a-150,CD1a-20,CD1a-20,CD1a-50,CD1a-50,CD1a-75,CD1a-75,CD1c-100,CD1c-100,CD1c-150,CD1c-150,CD1c-20,CD1c-20,CD1c-50,CD1c-50,CD1c-75,CD1c-75
Cer 32:0;2,Cer,SL,MEM,32,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60160005092621,NA,NA,NA,NA,NA,NA,NA
Cer 32:0;4,Cer,SL,MEM,32,0,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181047007441521,NA,NA,NA,NA,NA,NA,NA
Cer 32:1;2,Cer,SL,MEM,32,1,2,,1.71249997615814,1.70807003974915,2.85201001167297,2.33947992324829,0.34613698720932,0.376742988824844,0.786624014377594,0.856617987155914,1.34918999671936,1.34179997444153,1.52798998355865,1.66767001152039,2.38776993751526,2.05622005462646,0.338786005973816,0.316406011581421,0.869154989719391,0.756641983985901,1.6238100528717,1.33970999717712
Cer 32:1;4,Cer,SL,MEM,32,1,4,,0.212690994143486,0.113030001521111,0.213361993432045,0.163661003112793,NA,NA,0.0705688968300819,0.0837159976363182,0.107557997107506,0.131871998310089,0.786310017108917,0.89097797870636,0.643625020980835,1.0064799785614,0.126408994197845,0.162796005606651,0.399890005588531,0.369304001331329,0.350394010543823,0.651866972446442
Cer 32:2;2,Cer,SL,MEM,32,2,2,,0.78861802816391,0.823179006576538,1.12766003608704,0.991761982440948,0.16907599568367,0.160131007432938,0.35971200466156,0.346255004405975,0.573230981826782,0.537401020526886,0.325204998254776,0.246972993016243,0.357100993394852,0.440115004777908,0.0520591996610165,0.0628291964530945,0.112709999084473,0.115024000406265,0.223422005772591,0.243415996432304
Cer 32:2;4,Cer,SL,MEM,32,2,4,,NA,0.101336002349854,0.128583997488022,NA,NA,NA,NA,NA,0.0757111012935638,NA,0.346222013235092,0.394109010696411,0.404632985591888,0.745431005954742,NA,NA,0.140996992588043,0.100945003330708,0.172574996948242,0.237294003367424
Cer 34:0;2,Cer,SL,MEM,34,0,2,,0.249072000384331,0.245028004050255,0.294759005308151,NA,NA,NA,NA,NA,NA,NA,0.42493200302124,0.484566986560822,0.531556010246277,0.595652997493744,NA,NA,NA,NA,0.358586996793747,0.324247986078262
Cer 34:0;3,Cer,SL,MEM,34,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194029003381729,NA,0.238865002989769,0.223036006093025,NA,NA,NA,NA,NA,NA
Cer 34:1;2,Cer,SL,MEM,34,1,2,,25.7157001495361,26.9489002227783,37.0587005615234,32.6436996459961,6.05101013183594,5.74672985076904,13.3409996032715,13.2707996368408,19.8262996673584,19.7924995422363,60.1646003723145,61.4425010681152,84.1651992797852,83.5131988525391,13.154899597168,12.6731996536255,32.0013999938965,31.5421009063721,47.5000991821289,46.4930992126465
Cer 34:1;3,Cer,SL,MEM,34,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509966015815735,NA,NA,NA,NA,NA
Cer 34:1;4,Cer,SL,MEM,34,1,4,,0.288906008005142,0.227387994527817,0.325839012861252,0.285023003816605,0.0710002034902573,0.0764293968677521,0.116700001060963,0.163158997893333,0.199837997555733,0.164507001638412,0.357299000024796,0.483657985925674,0.390437990427017,0.527549982070923,0.103215001523495,0.0844027027487755,0.256269007921219,0.188769996166229,0.189317002892494,0.297022014856339
Cer 34:2;2,Cer,SL,MEM,34,2,2,,4.28540992736816,4.6273398399353,6.57963991165161,5.5732798576355,0.849757015705109,0.822923004627228,2.21932005882263,2.21346998214722,3.29535007476807,3.44215989112854,6.01789999008179,6.33924007415771,8.82464981079102,8.24040985107422,1.18201994895935,1.14420998096466,2.99114990234375,2.93666005134583,4.43800020217896,4.41549015045166
Cer 34:2;4,Cer,SL,MEM,34,2,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263521999120712,0.28150999546051,0.197227999567986,0.441168010234833,NA,NA,NA,NA,NA,0.182804003357887
Cer 36:0;3,Cer,SL,MEM,36,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164633005857468,0.189594000577927,0.23615300655365,NA,NA,NA,NA,NA,0.117150001227856
Cer 36:1;2,Cer,SL,MEM,36,1,2,,4.14731979370117,4.41865015029907,5.7749400138855,5.10944986343384,0.994410991668701,0.984023988246918,2.34308004379272,2.29608011245728,3.27800989151001,3.34630990028381,8.77394008636475,8.72731971740723,12.0378999710083,11.9425001144409,2.06843996047974,1.91475999355316,4.65732002258301,4.58873987197876,6.7350001335144,6.71522998809814
Cer 36:1;3,Cer,SL,MEM,36,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54606008529663,NA,NA,NA,NA,NA
Cer 36:2;2,Cer,SL,MEM,36,2,2,,3.16774988174438,3.30458998680115,4.56347990036011,3.90939998626709,0.674300014972687,0.642409026622772,1.60750997066498,1.50663995742798,2.34364008903503,2.41275000572205,3.71223998069763,3.69552993774414,5.12565994262695,5.28739976882935,0.788685977458954,0.72784698009491,1.90851998329163,1.86160004138947,2.75441002845764,2.77155995368958
Cer 38:0;2,Cer,SL,MEM,38,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0935171023011208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 38:0;4,Cer,SL,MEM,38,0,4,,NA,NA,NA,0.214477002620697,NA,NA,NA,NA,NA,NA,NA,NA,0.444763988256454,NA,NA,NA,NA,NA,NA,NA
Cer 38:1;2,Cer,SL,MEM,38,1,2,,0.799673974514008,0.741128981113434,1.1316499710083,0.914900004863739,NA,NA,NA,0.42145499587059,0.589890003204346,0.598578989505768,1.10294997692108,1.18420994281769,1.5034099817276,1.5584499835968,NA,NA,0.639131009578705,0.656162023544312,0.862864971160889,0.911001980304718
Cer 38:1;4,Cer,SL,MEM,38,1,4,,0.298424988985062,0.189321994781494,0.310485988855362,0.21042799949646,NA,NA,NA,NA,0.224823996424675,0.202668994665146,0.393404990434647,0.505578994750977,0.367262989282608,0.577688992023468,NA,NA,0.297773987054825,0.282622992992401,0.258635997772217,0.321402996778488
Cer 38:2;2,Cer,SL,MEM,38,2,2,,0.735899984836578,0.792294979095459,1.03756999969482,0.929220020771027,0.147727996110916,0.154817998409271,0.390935003757477,0.360531002283096,0.588932991027832,0.625536978244781,0.61692601442337,0.594642996788025,0.805067002773285,0.89350700378418,0.121151000261307,0.111170001327991,0.294382989406586,0.31019800901413,0.408630013465881,0.441819995641708
Cer 38:2;3,Cer,SL,MEM,38,2,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295502007007599,NA,NA,NA,NA,NA,NA
Cer 38:2;4,Cer,SL,MEM,38,2,4,,0.451290011405945,0.387780994176865,0.586157977581024,0.426407009363174,0.0758045017719269,0.0858030989766121,0.168632000684738,0.191641002893448,0.274520009756088,0.243327006697655,0.351348996162415,0.368990004062653,0.218253999948502,0.377819985151291,0.084231398999691,NA,0.16473799943924,0.118184998631477,0.278820008039474,0.175494998693466
Cer 40:1;2,Cer,SL,MEM,40,1,2,,4.91010999679565,4.84759998321533,6.53639984130859,5.8129301071167,1.05409002304077,0.983666002750397,2.57476997375488,2.46515011787415,3.83998990058899,3.98049998283386,3.82852005958557,3.84896993637085,5.56446981430054,5.30013990402222,0.973426997661591,0.95321798324585,2.0860800743103,2.06961989402771,3.04953002929688,2.96086001396179
Cer 40:1;3,Cer,SL,MEM,40,1,3,,NA,NA,0.147761002182961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137373998761177
Cer 40:1;4,Cer,SL,MEM,40,1,4,,NA,NA,NA,0.116952002048492,NA,NA,NA,NA,NA,NA,0.14673900604248,0.17663000524044,NA,0.329598993062973,NA,NA,NA,NA,NA,0.134384006261826
Cer 40:2;2,Cer,SL,MEM,40,2,2,,3.85502004623413,3.94028997421265,5.24479007720947,4.72525978088379,0.823628008365631,0.851571977138519,2.10565996170044,2.06383991241455,3.26554989814758,3.28180003166199,2.23812007904053,2.38358998298645,3.176029920578,3.17744994163513,0.56650298833847,0.494928002357483,1.2520899772644,1.13743996620178,1.73131000995636,1.54054999351501
Cer 40:2;4,Cer,SL,MEM,40,2,4,,0.1613450050354,0.109838001430035,NA,0.13468199968338,NA,NA,NA,NA,0.0914181992411613,NA,0.15633100271225,0.181208997964859,NA,0.298379004001617,NA,NA,NA,NA,0.132618993520737,0.155383005738258
Cer 42:1;2,Cer,SL,MEM,42,1,2,,11.1038999557495,11.1127004623413,15.0179004669189,13.9890003204346,2.40637993812561,2.35946989059448,6.24652004241943,5.90825986862183,8.86577987670898,9.14558982849121,8.57238960266113,8.72760009765625,12.7586002349854,12.0136003494263,2.26227998733521,2.17607998847961,4.68065023422241,4.5759801864624,6.83587980270386,6.66475009918213
