feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,CD1a-100-a,CD1a-100-b,CD1a-150-a,CD1a-150-b,CD1a-20-a,CD1a-20-b,CD1a-50-a,CD1a-50-b,CD1a-75-a,CD1a-75-b,CD1c-100-a,CD1c-100-b,CD1c-150-a,CD1c-150-b,CD1c-20-a,CD1c-20-b,CD1c-50-a,CD1c-50-b,CD1c-75-a,CD1c-75-b
,,,,,,,shortname,CD1aBa,CD1aBb,CD1aAa,CD1aAb,CD1aEa,CD1aEb,CD1aDa,CD1aDb,CD1aCa,CD1aCb,CD1cBa,CD1cBb,CD1cAa,CD1cAb,CD1cEa,CD1cEb,CD1cDa,CD1cDb,CD1cCa,CD1cCb
,,,,,,,cohort,CD1a-100,CD1a-100,CD1a-150,CD1a-150,CD1a-20,CD1a-20,CD1a-50,CD1a-50,CD1a-75,CD1a-75,CD1c-100,CD1c-100,CD1c-150,CD1c-150,CD1c-20,CD1c-20,CD1c-50,CD1c-50,CD1c-75,CD1c-75
Cer 32:0;2,Cer,SL,MEM,32,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100089491478826,NA,NA,NA,NA,NA,NA,NA
Cer 32:0;4,Cer,SL,MEM,32,0,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00113142497080377,NA,NA,NA,NA,NA,NA,NA
Cer 32:1;2,Cer,SL,MEM,32,1,2,,0.0281544651572855,0.0279782538138778,0.0318650075588168,0.0293779697814467,0.0306196461760554,0.0346033857322592,0.0271181237784449,0.0298761533667999,0.0304075121169353,0.0298994633208725,0.0138680183579394,0.0155460413106441,0.0149219949559892,0.0122022918713854,0.0156196712647962,0.0149751722124719,0.0153837982650484,0.0137560004143759,0.0204317281778103,0.0160087822201974
Cer 32:1;4,Cer,SL,MEM,32,1,4,,0.00349675986408785,0.00185143582964845,0.00238385612450504,0.00205516959392115,NA,NA,0.00243279641120626,0.00291975188723426,0.00242409972522207,0.0029385169560491,0.00713654007528347,0.00830570818456784,0.00402223395383672,0.00597278605151188,0.0058280652077361,0.00770496807970665,0.00707794035235209,0.00671406834786358,0.00440886245648204,0.00778944429796233
Cer 32:2;2,Cer,SL,MEM,32,2,2,,0.0129653250250893,0.013483704206671,0.0125991477682825,0.0124540301718356,0.0149566424739449,0.0147078384528965,0.0124007333728847,0.0120762904477419,0.0129192538249498,0.011974960804818,0.00295155657721479,0.00230228541948989,0.00223164683435196,0.0026117884285745,0.00240018055845055,0.00297364146829492,0.00199493520589362,0.00209117420225156,0.00281122640102746,0.00290868447948284
Cer 32:2;4,Cer,SL,MEM,32,2,4,,NA,0.00165988766751293,0.00143664644763825,NA,NA,NA,NA,NA,0.0017063469456255,NA,0.00314230674751191,0.00367388926997478,0.00252869058914116,0.00442363485570254,NA,NA,0.00249560701556033,0.0018352133995148,0.00217143958537342,0.00283553009985162
Cer 34:0;2,Cer,SL,MEM,34,0,2,,0.0040948841191858,0.0040135682549837,0.00329329065947562,NA,NA,NA,NA,NA,NA,NA,0.00385667764984291,0.0045171396851953,0.0033218761904569,0.00353480247074267,NA,NA,NA,NA,0.00451195140320148,0.00387458136865586
Cer 34:0;3,Cer,SL,MEM,34,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017610048559374,NA,0.00149274949557526,0.00132356964326446,NA,NA,NA,NA,NA,NA
Cer 34:1;2,Cer,SL,MEM,34,1,2,,0.422780609597192,0.441424035836665,0.414050360510542,0.409922569638104,0.535278794497908,0.527830153775475,0.459918426029692,0.462843941167633,0.446837323753587,0.441038251128145,0.546053175373654,0.572767785734411,0.525977255760954,0.495595024092328,0.606504411652245,0.599809549595879,0.566415757291074,0.573445780595787,0.597674040256089,0.555566429753888
Cer 34:1;3,Cer,SL,MEM,34,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235118965447329,NA,NA,NA,NA,NA
Cer 34:1;4,Cer,SL,MEM,34,1,4,,0.00474977766385679,0.00372462421158225,0.00364054213178959,0.00357917035745072,0.00628075354450613,0.00701994723073223,0.0040231228844696,0.00569047500440518,0.0045038699863441,0.00366572600626381,0.00324284134381371,0.00450866596957544,0.00243998118589316,0.00313065658682283,0.00475871011483581,0.00399469340845863,0.00453588918671103,0.00343190068809712,0.00238209729992525,0.00354924629991448
Cer 34:2;2,Cer,SL,MEM,34,2,2,,0.0704545554245488,0.0757960069036703,0.073513162527815,0.0699863442357843,0.0751704097452506,0.0755844780174656,0.0765089737398336,0.077198902720918,0.0742693005223166,0.0767019938662708,0.0546183865317816,0.0590944775586027,0.0551482694777638,0.0489013254765252,0.0544968289882763,0.0541542855855811,0.052942509934887,0.0533894467108331,0.0558415152213321,0.052762628003784
Cer 34:2;4,Cer,SL,MEM,34,2,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00239172243329475,0.00262423980077357,0.00123254555160196,0.00261803731224755,NA,NA,NA,NA,NA,0.00218440519582816
Cer 36:0;3,Cer,SL,MEM,36,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00153471099946346,0.00118483806829968,0.00140141027502832,NA,NA,NA,NA,NA,0.00139987673504286
Cer 36:1;2,Cer,SL,MEM,36,1,2,,0.0681842757684788,0.0723776616548775,0.0645223917310972,0.0641618088687677,0.0879666543698862,0.0903814076044692,0.080775482935962,0.0800800854182239,0.07387849430984,0.0745661589131059,0.0796321726571681,0.0813561867280437,0.0752289740422032,0.0708707571169636,0.0953650730666794,0.0906236278688133,0.0824332512965486,0.0834248018433764,0.0847437123339169,0.0802432277616188
Cer 36:1;3,Cer,SL,MEM,36,1,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117385667800653,NA,NA,NA,NA,NA
Cer 36:2;2,Cer,SL,MEM,36,2,2,,0.0520795941105062,0.0541293127623152,0.0509869603978646,0.04909220785305,0.0596492967753449,0.0590044884855122,0.0554173958114785,0.0525468845057935,0.0528200361538045,0.053763550210639,0.0336922445535226,0.0344497776418701,0.0320320105418475,0.0313771841076961,0.0363622330374986,0.0344482515258534,0.0337802656086125,0.0338445017362833,0.0346575985855949,0.03311858521794
Cer 38:0;2,Cer,SL,MEM,38,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00208385096391913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 38:0;4,Cer,SL,MEM,38,0,4,,NA,NA,NA,0.00269329043570398,NA,NA,NA,NA,NA,NA,NA,NA,0.00277948301680804,NA,NA,NA,NA,NA,NA,NA
Cer 38:1;2,Cer,SL,MEM,38,1,2,,0.0131470910166971,0.0121397215921296,0.0126437266112406,0.0114888375099254,NA,NA,NA,0.014699030702868,0.0132947082795679,0.0133381956195234,0.0100103604685987,0.0110392203279684,0.00939532566000392,0.00924835915495366,NA,NA,0.0113124386704262,0.0119292416477136,0.0108570719301405,0.0108859621377735
Cer 38:1;4,Cer,SL,MEM,38,1,4,,0.00490627507820026,0.00310110165232113,0.00346900548781007,0.002642445164391,NA,NA,NA,NA,0.00506699457606719,0.00451609352190572,0.0035705388701216,0.00471301389597273,0.00229515263907689,0.0034281981034551,NA,NA,0.00527051561529839,0.00513817907411818,0.00325430945210202,0.00384058534398273
Cer 38:2;2,Cer,SL,MEM,38,2,2,,0.0120986106690696,0.012977822632993,0.01159258759533,0.0116686608075795,0.0130681757176054,0.0142198450300637,0.0134771169293761,0.0125741925563085,0.0132731395165144,0.0139389031846299,0.00559921294352205,0.00554326966923385,0.00503114038160535,0.00530236694500203,0.00558564629032848,0.00526156221377291,0.0052104959129958,0.00563950194523762,0.0051416219191799,0.00527950086635169
Cer 38:2;3,Cer,SL,MEM,38,2,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00175360693033506,NA,NA,NA,NA,NA,NA
Cer 38:2;4,Cer,SL,MEM,38,2,4,,0.00741946223582681,0.00635186779628287,0.00654904025926743,0.00535459702439981,0.00670574688224496,0.00788091037917447,0.0058134297758426,0.00668383816317165,0.00618702372778989,0.00542208007923261,0.00318883918170455,0.00343972956684818,0.00136394425408717,0.00224210911827531,0.00388347434471877,NA,0.00291581614319343,0.0021486421908329,0.00350827647896543,0.00209706669408848
Cer 40:1;2,Cer,SL,MEM,40,1,2,,0.0807249767870691,0.0794038766340444,0.0730300488070761,0.0729957471878726,0.0932459249831634,0.0903485270716122,0.0887627755739886,0.0859767178580009,0.0865441781476212,0.0886978800882822,0.03474760112394,0.0358801472838722,0.0347742842378491,0.0314527882959514,0.0448796863968658,0.0451148301000546,0.036923029157651,0.0376263711535947,0.0383709711111059,0.0353806146463637
Cer 40:1;3,Cer,SL,MEM,40,1,3,,NA,NA,0.00165090775705112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00164154214980795
Cer 40:1;4,Cer,SL,MEM,40,1,4,,NA,NA,NA,0.00146862229845075,NA,NA,NA,NA,NA,NA,0.0013318014198519,0.00164654718211535,NA,0.00195594975587365,NA,NA,NA,NA,NA,0.00160581341831905
Cer 40:2;2,Cer,SL,MEM,40,2,2,,0.0633787031143953,0.0645421033290826,0.0585991194878913,0.059337350012196,0.0728590099549053,0.0782158513304325,0.0725906486873389,0.0719802743724049,0.0735976758928148,0.0731286790446961,0.0203131503984857,0.0222198564986858,0.0198481024952735,0.0188560419432305,0.0261185240604521,0.023424435051136,0.0221616395783949,0.0206790331194349,0.0217843555361614,0.0184087074049412
