feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_molp,CD1b_molp,CD1c_molp,CD1d_molp
Cer 32:0;2,Cer,SL,MEM,32,0,2,NA,NA,0.0100089491478826,0.005901346
Cer 32:0;4,Cer,SL,MEM,32,0,4,NA,NA,0.00113142497080377,NA
Cer 32:1;2,Cer,SL,MEM,32,1,2,0.0318650075588168,0.022834353,0.0149219949559892,0.020249901
Cer 32:1;4,Cer,SL,MEM,32,1,4,0.00238385612450504,0.015592423,0.00402223395383672,0.002254278
Cer 32:2;2,Cer,SL,MEM,32,2,2,0.0125991477682825,NA,0.00223164683435196,0.003930913
Cer 32:2;4,Cer,SL,MEM,32,2,4,0.00143664644763825,NA,0.00252869058914116,NA
Cer 34:0;2,Cer,SL,MEM,34,0,2,0.00329329065947562,NA,0.0033218761904569,0.014001096
Cer 34:0;3,Cer,SL,MEM,34,0,3,NA,NA,0.00149274949557526,0.013287731
Cer 34:1;2,Cer,SL,MEM,34,1,2,0.414050360510542,0.642037018,0.525977255760954,0.567361143
Cer 34:1;3,Cer,SL,MEM,34,1,3,NA,NA,NA,0.028228514
Cer 34:1;4,Cer,SL,MEM,34,1,4,0.00364054213178959,0.015139284,0.00243998118589316,0.006985446
Cer 34:2;2,Cer,SL,MEM,34,2,2,0.073513162527815007,0.071029734,0.0551482694777638,0.086561749
Cer 34:2;4,Cer,SL,MEM,34,2,4,NA,NA,0.00123254555160196,NA
Cer 36:0;3,Cer,SL,MEM,36,0,3,NA,NA,0.00118483806829968,0.003216764
Cer 36:1;2,Cer,SL,MEM,36,1,2,0.0645223917310972,0.118457433,0.0752289740422032,0.068282815
Cer 36:1;3,Cer,SL,MEM,36,1,3,NA,NA,NA,0.011256331
Cer 36:2;2,Cer,SL,MEM,36,2,2,0.0509869603978646,0.051232321,0.0320320105418475,0.038286983
Cer 38:0;2,Cer,SL,MEM,38,0,2,NA,NA,NA,0.014276685
Cer 38:0;4,Cer,SL,MEM,38,0,4,NA,NA,0.00277948301680804,NA
Cer 38:1;2,Cer,SL,MEM,38,1,2,0.0126437266112406,NA,0.00939532566000392,0.026998515
Cer 38:1;4,Cer,SL,MEM,38,1,4,0.00346900548781007,NA,0.00229515263907689,0.004259953
Cer 38:2;2,Cer,SL,MEM,38,2,2,0.01159258759533,0.020854913,0.00503114038160535,0.012604584
Cer 38:2;3,Cer,SL,MEM,38,2,3,NA,NA,NA,0.001997767
Cer 38:2;4,Cer,SL,MEM,38,2,4,0.00654904025926743,0.013579292,0.00136394425408717,NA
Cer 40:1;2,Cer,SL,MEM,40,1,2,0.0730300488070761,0.059333674,0.0347742842378491,0.186796521
Cer 40:1;3,Cer,SL,MEM,40,1,3,0.00165090775705112,NA,NA,0.015621033
Cer 40:1;4,Cer,SL,MEM,40,1,4,NA,NA,NA,0.005885082
Cer 40:2;2,Cer,SL,MEM,40,2,2,0.0585991194878913,0.043768363,0.0198481024952735,0.109553675
Cer 40:2;4,Cer,SL,MEM,40,2,4,NA,NA,NA,NA
Cer 42:1;2,Cer,SL,MEM,42,1,2,0.167792367466206,0.100678013,0.0797328776783452,1.176424371
Cer 42:1;3,Cer,SL,MEM,42,1,3,NA,NA,0.0031949267868219902,0.077923911
Cer 42:1;4,Cer,SL,MEM,42,1,4,0.00634149424575653,NA,0.00169104123978032,0.041899715
Cer 42:2;2,Cer,SL,MEM,42,2,2,0.350697077238991,0.173741806,0.143311195758991,1.745385345
Cer 42:2;3,Cer,SL,MEM,42,2,3,0.00376143210897455,NA,0.00137639295999577,0.011788107
Cer 42:2;4,Cer,SL,MEM,42,2,4,0.00147393011678122,NA,NA,0.003198611
Cer 44:1;2,Cer,SL,MEM,44,1,2,0.00431557063505776,NA,0.00443419699188838,0.072443224
Cer 44:2;2,Cer,SL,MEM,44,2,2,0.00724434767420152,NA,0.00468443310587494,0.070231803
Cer 44:2;4,Cer,SL,MEM,44,2,4,NA,NA,NA,0.004594228
DAG 12:0;0_18:0;0,DAG,GL,MEM,30,0,0,0.00425999692061418,NA,NA,NA
DAG 13:0;0_17:0;0,DAG,GL,MEM,30,0,0,NA,NA,NA,NA
DAG 14:0;0_16:0;0,DAG,GL,MEM,30,0,0,0.0882017407773011,NA,NA,NA
DAG 14:0;0_16:1;0,DAG,GL,MEM,30,1,0,NA,0.191602818,NA,NA
DAG 13:0;0_18:0;0,DAG,GL,MEM,31,0,0,0.00804032242761895,NA,NA,NA
DAG 14:0;0_17:0;0,DAG,GL,MEM,31,0,0,0.0108421426646696,0.033228512,NA,NA
