feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_pmol,CD1b_pmol,CD1c_pmol,CD1d_pmol
Cer 32:0;2,Cer,SL,MEM,32,0,2,NA,NA,1.60160005092621,0.421635002
Cer 32:0;4,Cer,SL,MEM,32,0,4,NA,NA,0.181047007441521,NA
Cer 32:1;2,Cer,SL,MEM,32,1,2,2.85201001167297,0.173498005,2.38776993751526,1.446799994
Cer 32:1;4,Cer,SL,MEM,32,1,4,0.213361993432045,0.118473001,0.643625020980835,0.161062002
Cer 32:2;2,Cer,SL,MEM,32,2,2,1.12766003608704,NA,0.357100993394852,0.280853003
Cer 32:2;4,Cer,SL,MEM,32,2,4,0.128583997488022,NA,0.404632985591888,NA
Cer 34:0;2,Cer,SL,MEM,34,0,2,0.294759005308151,NA,0.531556010246277,1.000339985
Cer 34:0;3,Cer,SL,MEM,34,0,3,NA,NA,0.238865002989769,0.949371994
Cer 34:1;2,Cer,SL,MEM,34,1,2,37.0587005615234,4.8782701490000004,84.1651992797852,40.53639984
Cer 34:1;3,Cer,SL,MEM,34,1,3,NA,NA,NA,2.016849995
Cer 34:1;4,Cer,SL,MEM,34,1,4,0.325839012861252,0.115029998,0.390437990427017,0.499090999
Cer 34:2;2,Cer,SL,MEM,34,2,2,6.57963991165161,0.539691985,8.82464981079102,6.184599876
Cer 34:2;4,Cer,SL,MEM,34,2,4,NA,NA,0.197227999567986,NA
Cer 36:0;3,Cer,SL,MEM,36,0,3,NA,NA,0.189594000577927,0.229828998
Cer 36:1;2,Cer,SL,MEM,36,1,2,5.7749400138855,0.900053024,12.0378999710083,4.878620148
Cer 36:1;3,Cer,SL,MEM,36,1,3,NA,NA,NA,0.804234028
Cer 36:2;2,Cer,SL,MEM,36,2,2,4.56347990036011,0.389268994,5.12565994262695,2.735500097
Cer 38:0;2,Cer,SL,MEM,38,0,2,NA,NA,NA,1.020030022
Cer 38:0;4,Cer,SL,MEM,38,0,4,NA,NA,0.444763988256454,NA
Cer 38:1;2,Cer,SL,MEM,38,1,2,1.1316499710083,NA,1.5034099817276,1.928969979
Cer 38:1;4,Cer,SL,MEM,38,1,4,0.310485988855362,NA,0.367262989282608,0.304361999
Cer 38:2;2,Cer,SL,MEM,38,2,2,1.03756999969482,0.158457994,0.805067002773285,0.900563002
Cer 38:2;3,Cer,SL,MEM,38,2,3,NA,NA,NA,0.142735004
Cer 38:2;4,Cer,SL,MEM,38,2,4,0.586157977581024,0.103177004,0.218253999948502,NA
Cer 40:1;2,Cer,SL,MEM,40,1,2,6.53639984130859,0.450823992,5.56446981430054,13.34609985
Cer 40:1;3,Cer,SL,MEM,40,1,3,0.147761002182961,NA,NA,1.116080046
